"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.526347375E0,-4.108955383E-1,4.381538544E0,8.677305450E0
3.536361375E0,-4.165837097E-1,4.359085236E0,8.620573425E0
3.546374375E0,-3.978726196E-1,4.342619476E0,8.583899689E0
3.556387375E0,-3.844006348E-1,4.338128815E0,8.537645874E0
3.566400375E0,-3.957769775E-1,4.345912628E0,8.523275757E0
3.576414375E0,-4.041595459E-1,4.378245392E0,8.491242371E0
3.586427375E0,-4.068539429E-1,4.404291229E0,8.439899139E0
3.596440375E0,-4.092489624E-1,4.415218506E0,8.415200500E0
3.606453375E0,-4.309538269E-1,4.400099945E0,8.415499878E0
3.616467375E0,-4.632865906E-1,4.395309906E0,8.447383575E0
3.626480375E0,-4.522096252E-1,4.394262085E0,8.485554199E0
3.636493375E0,-4.149371338E-1,4.412524109E0,8.534951477E0
3.646506375E0,-3.731739807E-1,4.430187378E0,8.566236420E0
3.656520375E0,-3.236270142E-1,4.444258118E0,8.559949493E0
3.666533375E0,-2.829116821E-1,4.425247650E0,8.611741791E0
3.676546375E0,-2.498304749E-1,4.412224731E0,8.664881287E0
3.686560375E0,-2.236349487E-1,4.413272552E0,8.680299225E0
3.696573375E0,-2.327659607E-1,4.436025238E0,8.704997864E0
3.706582667E0,-2.847079468E-1,4.473297729E0,8.707991638E0
3.716595667E0,-3.411405945E-1,4.502037964E0,8.672365723E0
3.726609667E0,-3.957769775E-1,4.550986176E0,8.619226227E0
3.736622667E0,-4.309538269E-1,4.572391663E0,8.578959961E0
3.746635667E0,-4.460723877E-1,4.595593414E0,8.533903656E0
3.756648667E0,-4.381388855E-1,4.586911469E0,8.554261322E0
3.766662667E0,-4.495152283E-1,4.539609833E0,8.611442413E0
3.776675667E0,-4.393363953E-1,4.502936096E0,8.662635956E0
3.786688667E0,-4.552033997E-1,4.455335083E0,8.681796112E0
3.796702667E0,-4.589456177E-1,4.429289246E0,8.699758759E0
3.806715667E0,-4.321513367E-1,4.419858856E0,8.705147552E0
3.816728667E0,-4.064048767E-1,4.416715393E0,8.715625763E0
3.826741667E0,-3.565585327E-1,4.415817261E0,8.716523895E0
3.836755667E0,-3.535647583E-1,4.417763214E0,8.733438721E0
3.846768667E0,-3.522175598E-1,4.423002319E0,8.719817047E0
3.856781667E0,-3.558100891E-1,4.430786133E0,8.694669342E0
3.866794667E0,-3.516188049E-1,4.426295471E0,8.685837708E0
3.876808667E0,-3.472778320E-1,4.442910919E0,8.679700470E0
3.886821667E0,-3.568579102E-1,4.458777924E0,8.663833466E0
3.896834667E0,-3.634442139E-1,4.472399597E0,8.646619263E0
3.906847667E0,-3.826043701E-1,4.470902710E0,8.639883270E0
3.916861667E0,-4.102967834E-1,4.479285278E0,8.624016266E0
3.926874667E0,-3.900888062E-1,4.464316406E0,8.616232452E0
3.936887667E0,-3.906875610E-1,4.484973450E0,8.600664825E0
3.946901667E0,-3.890409851E-1,4.495152283E0,8.598419495E0
3.956914667E0,-3.611988831E-1,4.488565979E0,8.599018250E0
3.966927667E0,-3.171903992E-1,4.446353760E0,8.574918365E0
3.976940667E0,-3.263214111E-1,4.439767456E0,8.581804047E0
3.986954667E0,-3.725752258E-1,4.454586639E0,8.559799805E0
3.996967667E0,-4.454736328E-1,4.472698975E0,8.539292450E0
4.006980667E0,-4.731660461E-1,4.460574188E0,8.539741516E0
4.016993667E0,-4.822970581E-1,4.449646912E0,8.535849609E0
4.027007667E0,-5.032534790E-1,4.419858856E0,8.588989105E0
